instancia,otimo,valorHeuristica,tempoHeuristica,gapHeuristica,valorVND,tempoVND,gapVND
n120k7_A.txt,1029,5121,0.000027s,397.667638,4855,0.001370s,371.817298
n120k7_B.txt,2052,12142,0.000025s,491.715400,11876,0.001327s,478.752437
n120k7_C.txt,2040,12142,0.000022s,495.196078,11876,0.001797s,482.156863
n120k7_D.txt,1046,5121,0.000024s,389.579350,4855,0.001423s,364.149140
n14k5_A.txt,471,837,0.000003s,77.707006,549,0.000012s,16.560510
n14k5_B.txt,565,1119,0.000003s,98.053097,737,0.000010s,30.442478
n14k5_C.txt,569,1119,0.000003s,96.660808,737,0.000012s,29.525483
n14k5_D.txt,471,837,0.000004s,77.707006,549,0.000009s,16.560510
n199k17_A.txt,1672,15143,0.000045s,805.681818,14896,0.004084s,790.909091
n199k17_B.txt,3302,41207,0.000045s,1147.940642,40960,0.003562s,1140.460327
n199k17_C.txt,3301,41207,0.000055s,1148.318691,40960,0.004377s,1140.836110
n199k17_D.txt,1672,15143,0.000044s,805.681818,14896,0.003745s,790.909091
n22k3_A.txt,605,1075,0.000008s,77.685950,868,0.000017s,43.471074
n22k3_B.txt,777,1591,0.000003s,104.761905,1384,0.000016s,78.120978
